Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
345,324,C300k_L1300k_M100k_V3,300000,1300000,100000,V3,40000,84,7.00,1938480.73,280929.44,10196.09,1748393.15,-116958.95,6.07%
346,565,C700k_L700k_M300k_V4,700000,700000,300000,V4,100000,30,2.50,1799765.33,78398.26,9944.83,1748505.58,-116846.52,5.99%
347,595,C800k_L200k_M700k_V4,800000,200000,700000,V4,100000,27,2.25,1791299.93,70085.58,15830.79,1748512.39,-116839.71,6.00%
348,680,C1000k_L0k_M700k_V4,1000000,0,700000,V4,100000,21,1.75,1775836.74,43953.61,10548.87,1748893.85,-116458.25,5.98%
349,600,C800k_L300k_M600k_V4,800000,300000,600000,V4,100000,27,2.25,1791841.95,69515.94,14719.13,1748925.93,-116426.17,6.00%
350,685,C1000k_L100k_M600k_V4,1000000,100000,600000,V4,100000,21,1.75,1776348.18,44189.61,10273.43,1749107.44,-116244.66,5.98%
351,635,C900k_L0k_M800k_V4,900000,0,800000,V4,100000,24,2.00,1783272.56,56026.14,13446.27,1749192.80,-116159.30,5.99%
352,570,C700k_L800k_M200k_V4,700000,800000,200000,V4,100000,30,2.50,1800378.02,75998.58,6932.46,1749366.34,-115985.76,5.98%
353,690,C1000k_L200k_M500k_V4,1000000,200000,500000,V4,100000,21,1.75,1776773.38,43883.72,9542.34,1749398.36,-115953.74,5.98%
354,605,C800k_L400k_M500k_V4,800000,400000,500000,V4,100000,27,2.25,1792318.14,68453.16,13180.16,1749421.55,-115930.55,5.99%
355,640,C900k_L100k_M700k_V4,900000,100000,700000,V4,100000,24,2.00,1783934.09,56459.63,13218.24,1749440.38,-115911.72,5.99%
356,645,C900k_L200k_M600k_V4,900000,200000,600000,V4,100000,24,2.00,1784464.77,56292.53,12520.46,1749755.06,-115597.04,5.99%
357,695,C1000k_L300k_M400k_V4,1000000,300000,400000,V4,100000,21,1.75,1777165.89,43117.35,8383.46,1749778.94,-115573.16,5.97%
358,610,C800k_L500k_M400k_V4,800000,500000,400000,V4,100000,27,2.25,1792779.85,66975.77,11241.06,1749999.07,-115353.03,5.99%
359,650,C900k_L300k_M500k_V4,900000,300000,500000,V4,100000,24,2.00,1784919.60,55608.16,11381.26,1750149.52,-115202.58,5.98%
360,177,C200k_L0k_M1500k_V1,200000,0,1500000,V1,5000,243,20.25,2402587.74,1207096.25,200243.54,1750224.58,-115127.52,7.11%
361,700,C1000k_L400k_M300k_V4,1000000,400000,300000,V4,100000,21,1.75,1777576.74,41968.61,6823.87,1750260.45,-115091.65,5.97%
362,575,C700k_L900k_M100k_V4,700000,900000,100000,V4,100000,30,2.50,1801121.23,73418.90,3609.56,1750334.83,-115017.27,5.97%
363,326,C300k_L1400k_M0k_V0,300000,1400000,0,V0,0,360,30.00,2438282.42,1168737.50,0.00,1750387.97,-114964.13,7.32%
364,655,C900k_L400k_M400k_V4,900000,400000,400000,V4,100000,24,2.00,1785351.02,54486.48,9828.16,1750635.35,-114716.75,5.98%
365,615,C800k_L600k_M300k_V4,800000,600000,300000,V4,100000,27,2.25,1793275.97,65159.06,8928.22,1750668.15,-114683.95,5.98%
366,705,C1000k_L500k_M200k_V4,1000000,500000,200000,V4,100000,21,1.75,1778054.54,40512.38,4889.85,1750844.82,-114507.28,5.97%
367,329,C300k_L1400k_M0k_V3,300000,1400000,0,V3,40000,83,6.92,1939743.44,271423.26,0.00,1751152.11,-114199.99,6.04%
368,660,C900k_L500k_M300k_V4,900000,500000,300000,V4,100000,24,2.00,1785809.01,53004.19,7887.88,1751212.06,-114140.04,5.98%
369,580,C700k_L1000k_M0k_V4,700000,1000000,0,V4,100000,30,2.50,1802035.86,70723.96,0.00,1751415.88,-113936.22,5.97%
370,620,C800k_L700k_M200k_V4,800000,700000,200000,V4,100000,27,2.25,1793853.01,63075.16,6267.29,1751438.54,-113913.56,5.98%
371,710,C1000k_L600k_M100k_V4,1000000,600000,100000,V4,100000,21,1.75,1778645.48,38820.43,2606.95,1751541.15,-113810.95,5.96%
372,308,C300k_L1000k_M400k_V2,300000,1000000,400000,V2,15000,180,15.00,2130685.66,613324.52,74568.74,1751859.11,-113492.99,6.48%
373,665,C900k_L600k_M200k_V4,900000,600000,200000,V4,100000,24,2.00,1786341.10,51234.81,5586.40,1751889.03,-113463.07,5.97%
374,625,C800k_L800k_M100k_V4,800000,800000,100000,V4,100000,27,2.25,1794555.12,60793.14,3283.15,1752319.00,-113033.10,5.97%
375,715,C1000k_L700k_M0k_V4,1000000,700000,0,V4,100000,21,1.75,1779393.46,36961.46,0.00,1752358.38,-112993.72,5.95%
